Business Name,Phone,Email,Website,City,ZIP,Google Category,Rating,Reviews,Source Search,Qualification Status,Qualification Reason,Service Type,Confidence,Primary Region,City/Location Note,Ownership Type,Ownership Confidence,Ownership Notes,Outreach Priority,Priority Reason,Data Status,Google Maps URL
303 Demolition & Junk Removal,(720) 325-7332,303demolition@gmail.com,https://303demolition.com/,,,Demolition contractor,5,145,Commercial Dumpster Rental,Not Qualified,Business name indicates non-dumpster service,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=303%20Demolition%20%26%20Junk%20Removal\&query\_place\_id=ChIJM9Y-aHTBZUURhyyf4SlxKT0
Affordable Roll-Offs LLC,(720) 295-7789,Sales@affordablerolloffs.com,https://www.affordablerolloffs.com/,,,Dumpster rental service,4.7,99,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Affordable%20Roll-Offs%20LLC\&query\_place\_id=ChIJJ6zPwPaJa4cRkOO7\_XMIdyo
Altapeak Rolloffs,(303) 718-1298,customerservice@altapeakrolloffs.com,http://www.altapeakrolloffs.com/,,,Waste management service,4.9,7,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Altapeak%20Rolloffs\&query\_place\_id=ChIJYeP8rxlvbIcR7spPmrluReI
Altitude Hauling,(303) 459-2255,brandon@altitudehauling.com,http://altitudehauling.com/?utm\_source=google\&utm\_medium=organic\&utm\_campaign=gmb,,,Junk removal service,5,933,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Altitude%20Hauling\&query\_place\_id=ChIJuaE4aY91bIcRd1PfJ\_Qbe9g
Apex Express & Waste Solutions,(505) 578-1574,WASTESOLUTIONS@APEXSOLLC.COM,https://www.apexwastesolution.com/,,,Dumpster rental service,5,57,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Unknown/Statewide,City not listed,Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Apex%20Express%20%26%20Waste%20Solutions\&query\_place\_id=ChIJycSSh9YXPIcRLEEIlbu5Hr4
ASL Dumpsters LLC,(303) 981-2288,info@asldumpster.com,http://asldumpster.com/,,,Dumpster rental service,5,223,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=ASL%20Dumpsters%20LLC\&query\_place\_id=ChIJp6xvGAhrtAwRtu3sa1xofk8
B. Solutions,(719) 491-6977,Denbell1@hotmail.com,https://bsolutionsllc.co/,,,Dumpster rental service,5,17,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=B.%20Solutions\&query\_place\_id=ChIJyXKpfSEzbYcRHhLz93CqCxo
Bargain Bins LLC - Dumpster Rentals,(719) 527-1301,azev@bargainbins.com; denver@bargainbins.com; rental@bargainbins.com,http://www.bargainbins.com/,,,Dumpster rental service,5,2076,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Regional Independent,Low,Multiple contact emails + high review volume suggests multi-location,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Bargain%20Bins%20LLC%20-%20Dumpster%20Rentals\&query\_place\_id=ChIJE6OyQBqxbIcR4b7oVE5PnRA
Bear Foot Junk Removal LLC,(720) 261-8820,bearfootjunkremoval@gmail.com; bearfootpreservation@gmail.com,http://bearfootjunkremoval.com/,,,Waste management service,4.7,27,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Bear%20Foot%20Junk%20Removal%20LLC\&query\_place\_id=ChIJncfUIuATa4cRAZe82waGKiY
Big Red Hauls,(719) 299-1733,BigRedHauls@gmail.com,http://www.bigredhauls.com/,,,Waste management service,4.9,34,Both,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Big%20Red%20Hauls\&query\_place\_id=ChIJrfgyL-FOE4cRZiHEQQw3hCg
Black Dog Disposal LLC,(970) 505-0722,blackdogdisposal@gmail.com,https://blackdogdisposal.com/,,,Dumpster rental service,5,13,Commercial Dumpster Rental,Qualified,Google category: Dumpster rental service,Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Black%20Dog%20Disposal%20LLC\&query\_place\_id=ChIJ9WTisD07\_isR5P7XVifecGY
Blessed Are We LLC,(720) 527-0100,blessedareweservices@gmail.com,http://blessedareweservices.com/,,,Waste management service,5,518,Both,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Blessed%20Are%20We%20LLC\&query\_place\_id=ChIJIV\_P3gt3bIcRMwM0-JTX4e4
Blue J's Services Dumpster Rental,(970) 203-4404,bluejsservicesllc@gmail.com,http://www.bluejsservicesllc.com/,,,Dumpster rental service,5,73,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Blue%20J's%20Services%20Dumpster%20Rental\&query\_place\_id=ChIJN1-ZKYSMpQURuv8dCK-3dYo
Brighton's Best Roll Off,(303) 718-0080,brightonsbest1@gmail.com,https://www.brightonsbestrolloff.com/,,,Waste management service,5,8,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Brighton (from name),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Brighton's%20Best%20Roll%20Off\&query\_place\_id=ChIJY3BvrH1rbIcROJHdyfwirCc
Budget Dumpster (Denver),(720) 418-7047,marketing@budgetdumpster.com,https://www.budgetdumpster.com/locations/budget-dumpster-denver-dumpster-rental.php?utm\_campaign=denver-co\_local\&utm\_medium=organic\&utm\_source=gbp,,,Dumpster rental service,4.4,128,Both,Not Qualified,National broker/lead-gen marketplace — not a direct rental provider,Broker,High,Denver Metro,(303/720 area code),Broker/Lead Gen/Marketplace,High,Known broker or marketplace brand,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Budget%20Dumpster%20(Denver)\&query\_place\_id=ChIJF7wGnHSVf04RLjKcufOnHdU
